"filename", "language", "Lua", "Markdown", "JSON", "YAML", "comment", "blank", "total"
"d:\Projects\Lua\LeonOS\leonos\.github\workflows\release.yml", "YAML", 0, 0, 0, 44, 2, 5, 51
"d:\Projects\Lua\LeonOS\leonos\.trae\rules\project_rules.md", "Markdown", 0, 4, 0, 0, 0, 0, 4
"d:\Projects\Lua\LeonOS\leonos\NEW_COMMANDS_SUGGESTIONS.md", "Markdown", 0, 54, 0, 0, 0, 13, 67
"d:\Projects\Lua\LeonOS\leonos\README.md", "Markdown", 0, 6, 0, 0, 0, 1, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\bios.lua", "Lua", 150, 0, 0, 0, 7, 29, 186
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\packages\example-pkg\1.0.0\example.lua", "Lua", 22, 0, 0, 0, 1, 2, 25
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\packages\example-pkg\1.0.0\package.json", "JSON", 0, 0, 11, 0, 0, 0, 11
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\packages\installed.json", "JSON", 0, 0, 3, 0, 0, 0, 3
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\colors.lua", "Lua", 70, 0, 0, 0, 1, 12, 83
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\colours.lua", "Lua", 1, 0, 0, 0, 0, 1, 2
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\disk.lua", "Lua", 27, 0, 0, 0, 1, 8, 36
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\gps.lua", "Lua", 11, 0, 0, 0, 1, 7, 19
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\help.lua", "Lua", 78, 0, 0, 0, 1, 24, 103
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\keys.lua", "Lua", 17, 0, 0, 0, 6, 7, 30
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\lgui.lua", "Lua", 540, 0, 0, 0, 43, 94, 677
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\multishell.lua", "Lua", 20, 0, 0, 0, 1, 11, 32
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\paintutils.lua", "Lua", 130, 0, 0, 0, 1, 28, 159
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\parallel.lua", "Lua", 40, 0, 0, 0, 3, 12, 55
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\rednet.lua", "Lua", 95, 0, 0, 0, 1, 18, 114
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\settings.lua", "Lua", 89, 0, 0, 0, 1, 25, 115
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\shell.lua", "Lua", 254, 0, 0, 0, 3, 78, 335
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\textutils.lua", "Lua", 308, 0, 0, 0, 3, 81, 392
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\vector.lua", "Lua", 57, 0, 0, 0, 1, 19, 77
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\apis\window.lua", "Lua", 299, 0, 0, 0, 1, 69, 369
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\alias.lua", "Lua", 5, 0, 0, 0, 0, 2, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\bedit.lua", "Lua", 5, 0, 0, 0, 0, 2, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\bg.lua", "Lua", 5, 0, 0, 0, 0, 2, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\calc.lua", "Lua", 5, 0, 0, 0, 2, 1, 8
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\cd.lua", "Lua", 3, 0, 0, 0, 0, 2, 5
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\copy.lua", "Lua", 6, 0, 0, 0, 0, 2, 8
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\delete.lua", "Lua", 5, 0, 0, 0, 0, 2, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\devbin.lua", "Lua", 10, 0, 0, 0, 0, 2, 12
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\edit.lua", "Lua", 5, 0, 0, 0, 0, 2, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\fg.lua", "Lua", 5, 0, 0, 0, 0, 2, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\help.lua", "Lua", 6, 0, 0, 0, 0, 2, 8
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\list.lua", "Lua", 5, 0, 0, 0, 0, 2, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\mkdir.lua", "Lua", 5, 0, 0, 0, 0, 2, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\move.lua", "Lua", 6, 0, 0, 0, 0, 2, 8
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\paint.lua", "Lua", 4, 0, 0, 0, 0, 3, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\pkg.lua", "Lua", 4, 0, 0, 0, 0, 3, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\reboot.lua", "Lua", 5, 0, 0, 0, 0, 2, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\redstone.lua", "Lua", 12, 0, 0, 0, 0, 2, 14
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\set.lua", "Lua", 5, 0, 0, 0, 0, 2, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\shutdown.lua", "Lua", 5, 0, 0, 0, 0, 2, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\tree.lua", "Lua", 5, 0, 0, 0, 1, 1, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\completions\ver.lua", "Lua", 4, 0, 0, 0, 1, 1, 6
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\editors\advanced.lua", "Lua", 255, 0, 0, 0, 2, 61, 318
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\editors\basic.lua", "Lua", 183, 0, 0, 0, 1, 46, 230
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\help\chest_sorter_tutorial.md", "Markdown", 0, 76, 0, 0, 0, 18, 94
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\keymaps\lwjgl2.lua", "Lua", 23, 0, 0, 0, 1, 2, 26
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\keymaps\lwjgl3.lua", "Lua", 118, 0, 0, 0, 1, 2, 121
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\modules\main\cc\audio\dfpwm.lua", "Lua", 168, 0, 0, 0, 6, 55, 229
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\modules\main\cc\completion.lua", "Lua", 31, 0, 0, 0, 3, 12, 46
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\modules\main\cc\expect.lua", "Lua", 39, 0, 0, 0, 1, 11, 51
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\modules\main\cc\http\gist.lua", "Lua", 215, 0, 0, 0, 62, 17, 294
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\modules\main\cc\pretty.lua", "Lua", 345, 0, 0, 0, 101, 78, 524
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\modules\main\cc\shell\completion.lua", "Lua", 87, 0, 0, 0, 2, 25, 114
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\modules\main\cc\strings.lua", "Lua", 99, 0, 0, 0, 1, 34, 134
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\modules\main\edit\syntax.lua", "Lua", 135, 0, 0, 0, 40, 24, 199
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\modules\main\edit\syntax\lua.lua", "Lua", 149, 0, 0, 0, 0, 4, 153
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\modules\main\edit\syntax\python.lua", "Lua", 127, 0, 0, 0, 0, 1, 128
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\modules\main\rc\copy.lua", "Lua", 28, 0, 0, 0, 2, 7, 37
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\modules\main\rc\io.lua", "Lua", 186, 0, 0, 0, 2, 44, 232
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\modules\main\rc\json.lua", "Lua", 280, 0, 0, 0, 45, 64, 389
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\modules\main\rc\thread.lua", "Lua", 309, 0, 0, 0, 6, 87, 402
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\about.lua", "Lua", 4, 0, 0, 0, 1, 3, 8
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\alias.lua", "Lua", 29, 0, 0, 0, 5, 13, 47
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\app.lua", "Lua", 37, 0, 0, 0, 7, 9, 53
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\appdelete.lua", "Lua", 90, 0, 0, 0, 15, 16, 121
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\applist.lua", "Lua", 55, 0, 0, 0, 8, 13, 76
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\bg.lua", "Lua", 13, 0, 0, 0, 1, 6, 20
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\calc.lua", "Lua", 54, 0, 0, 0, 19, 16, 89
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\catos.lua", "Lua", 58, 0, 0, 0, 6, 5, 69
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\chest_sorter.lua", "Lua", 300, 0, 0, 0, 44, 46, 390
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\clear.lua", "Lua", 14, 0, 0, 0, 5, 5, 24
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\commands.lua", "Lua", 47, 0, 0, 0, 8, 9, 64
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\config.lua", "Lua", 224, 0, 0, 0, 17, 32, 273
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\copy.lua", "Lua", 30, 0, 0, 0, 0, 7, 37
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\craftos.lua", "Lua", 43, 0, 0, 0, 1, 15, 59
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\delete.lua", "Lua", 21, 0, 0, 0, 0, 4, 25
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\devbin.lua", "Lua", 69, 0, 0, 0, 2, 19, 90
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\edit.lua", "Lua", 18, 0, 0, 0, 5, 7, 30
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\fg.lua", "Lua", 13, 0, 0, 0, 1, 6, 20
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\find.lua", "Lua", 156, 0, 0, 0, 19, 24, 199
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\help.lua", "Lua", 27, 0, 0, 0, 8, 10, 45
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\helplist.lua", "Lua", 47, 0, 0, 0, 8, 8, 63
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\history.lua", "Lua", 93, 0, 0, 0, 12, 6, 111
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\imageview.lua", "Lua", 69, 0, 0, 0, 16, 17, 102
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\list.lua", "Lua", 44, 0, 0, 0, 5, 14, 63
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\lua.lua", "Lua", 46, 0, 0, 0, 5, 13, 64
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\mkdir.lua", "Lua", 10, 0, 0, 0, 0, 3, 13
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\move.lua", "Lua", 30, 0, 0, 0, 0, 7, 37
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\network.lua", "Lua", 159, 0, 0, 0, 9, 26, 194
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\paint.lua", "Lua", 1, 0, 0, 0, 1, 2, 4
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\peripherals.lua", "Lua", 23, 0, 0, 0, 4, 7, 34
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\pkg.lua", "Lua", 508, 0, 0, 0, 69, 82, 659
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\programs.lua", "Lua", 5, 0, 0, 0, 0, 2, 7
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\reboot.lua", "Lua", 7, 0, 0, 0, 0, 4, 11
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\redstone.lua", "Lua", 80, 0, 0, 0, 4, 23, 107
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\set.lua", "Lua", 51, 0, 0, 0, 5, 10, 66
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\shell.lua", "Lua", 85, 0, 0, 0, 13, 18, 116
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\shutdown.lua", "Lua", 7, 0, 0, 0, 0, 4, 11
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\storage.lua", "Lua", 41, 0, 0, 0, 10, 10, 61
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_comparator.lua", "Lua", 126, 0, 0, 0, 18, 17, 161
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_config.lua", "Lua", 52, 0, 0, 0, 16, 18, 86
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_config_find.lua", "Lua", 38, 0, 0, 0, 17, 15, 70
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_find.lua", "Lua", 101, 0, 0, 0, 26, 31, 158
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_help_format.lua", "Lua", 35, 0, 0, 0, 4, 5, 44
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_helplist.lua", "Lua", 57, 0, 0, 0, 1, 5, 63
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_history.lua", "Lua", 63, 0, 0, 0, 2, 7, 72
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_imageview.lua", "Lua", 26, 0, 0, 0, 3, 5, 34
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_lgui.lua", "Lua", 47, 0, 0, 0, 10, 9, 66
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\threads.lua", "Lua", 22, 0, 0, 0, 5, 8, 35
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\time.lua", "Lua", 56, 0, 0, 0, 6, 6, 68
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\tree.lua", "Lua", 62, 0, 0, 0, 12, 19, 93
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\turtle.lua", "Lua", 253, 0, 0, 0, 14, 25, 292
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\turtle_farmer.lua", "Lua", 293, 0, 0, 0, 66, 64, 423
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\turtle_miner.lua", "Lua", 346, 0, 0, 0, 58, 58, 462
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\ver.lua", "Lua", 14, 0, 0, 0, 6, 6, 26
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\wget.lua", "Lua", 46, 0, 0, 0, 3, 10, 59
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\00_fs.lua", "Lua", 148, 0, 0, 0, 24, 30, 202
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\10_package.lua", "Lua", 99, 0, 0, 0, 7, 26, 132
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\15_term.lua", "Lua", 303, 0, 0, 0, 11, 75, 389
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\20_io.lua", "Lua", 9, 0, 0, 0, 0, 5, 14
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\30_peripheral.lua", "Lua", 139, 0, 0, 0, 4, 42, 185
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\35_http.lua", "Lua", 112, 0, 0, 0, 31, 26, 169
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\40_commands.lua", "Lua", 26, 0, 0, 0, 1, 10, 37
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\90_settings.lua", "Lua", 82, 0, 0, 0, 1, 19, 102
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\update.lua", "Lua", 62, 0, 0, 0, 6, 18, 86
"d:\Projects\Lua\LeonOS\leonos\installer.lua", "Lua", 167, 0, 0, 0, 14, 30, 211
"d:\Projects\Lua\LeonOS\leonos\unbios.lua", "Lua", 84, 0, 0, 0, 33, 1, 118
"d:\Projects\Lua\LeonOS\leonos\updater.lua", "Lua", 261, 0, 0, 0, 34, 54, 349
"Total", "-", 10842, 140, 14, 44, 1124, 2344, 14508